name,type,color_ebc,yield_percentage,protein
Pilsen Malt,GRAIN,7,75.0,11.8
Pale Ale Malt,GRAIN,7,75.0,11.5
Vienna Malt,GRAIN,10,75.0,11.5
Munich Malt,GRAIN,25,75.0,12.5
Terroir Paulista Vienna,GRAIN,10,75.0,12
Terroir Paulista Pale Ale,GRAIN,6,75.0,12
Terroir Paulista Pilsen,GRAIN,3.5,75.0,12
Terroir Paulista Carapálida ,GRAIN,6.5,75.0,5.4
Terroir Paulista Munich,GRAIN,20,75.0,12
Terroir Paulista Biscoito / Melanoidina,GRAIN,55,75.0,12
Terroir Paulista Caramelo 1,GRAIN,35,75.0,12
Terroir Paulista Caramelo 2,GRAIN,55,75.0,12
Terroir Paulista Caramelo 3,GRAIN,100,75.0,12
Terroir Paulista Caramelo 130 EBC,GRAIN,140,75.0,12
Terroir Paulista IAC-600 Black Rice Malt,GRAIN,0.0,75.0,9
White Rice Malt TERROIR PAULISTA,GRAIN,5,75.0,10
Light Wheat Malt,GRAIN,6,75.0,13.5
Munich Wheat Malt,GRAIN,25,75.0,13.5
Pilsener Malt,GRAIN,4,75.0,11
Pilsener Malt 6 row winter,GRAIN,4,75.0,11.2
Pilsener Malt 2 row winter,GRAIN,4,75.0,11.5
Pale Ale Malt,GRAIN,8,75.0,11.5
Vienna Malt,GRAIN,12,75.0,11.5
Munich Malt Light,GRAIN,22,75.0,11
Munich Malt Dark,GRAIN,32,75.0,11
Light Caramel Malt,GRAIN,25,75.0,11.5
Medium Caramel Malt,GRAIN,40,75.0,11.5
Dark Caramel Malt,GRAIN,65,75.0,11.5
Wheat Malt,GRAIN,5,75.0,13.5
Lager Malt,GRAIN,4,75.0,10.6
Pale Ale Malt,GRAIN,7,75.0,10.3
Pale Ale Low Colour Malt,GRAIN,4,75.0,10.3
Winter Pale Ale Malt,GRAIN,4,75.0,9.7
Winter Pale Ale Low Colour Malt,GRAIN,4,75.0,9.7
Maris Otter Pale Ale Malt,GRAIN,7,75.0,10
Maris Otter Low Colour Malt,GRAIN,4.5,75.0,10
Scottish Golden Promise Malt,GRAIN,4.5,75.0,10.3
Scottish Ale Malt,GRAIN,4.5,75.0,9.7
Vienna Malt,GRAIN,10,75.0,11.3
