name,alpha_acid,origin
Outeniqua,12.75,South Africa
Pilot,9.75,UK
Lubelska-Pulawy,6,Poland
Pacifica,5.5,New Zealand
Sun,14,US
Zlatan,5.2,Czechia
Bramling Cross,6.4,UK
Neo1,8,US
Amethyst,4,Czech Republic
Aquila,7.800000000000001,US
Liberty,4.5,US
Petham Golding,6.9,UK
Serebrianka,3.5,Russia
Tolhurst,2.2,UK
Millennium,15.5,Unknown
Super Pride,14.25,Australia
Precoce de Bourgogne,3.4,France
Styrian Golding,4.4,Austria and Slovenia
Summer,6,Australia
Tettnanger A,4.4,Germany
Zythos®,11.25,US
California Cluster,7,US
Coigneau,0.0,Belgium
Perle,8.5,Germany
Wakatu,7.5,New Zealand
Backa,5,Serbia
Olympic,12.2,US
Bate’s Brewer,0.0,UK
Dana,13.5,Slovenia
Density,5.5,UK
Santiam,6.5,US
Tahoma,7.699999999999999,US
Vanguard,5.2,US
Vojvodina,8.3,Former Yugoslavia
Melba,8.5,Australia
Northdown,8.5,UK
Ahil,11,Slovenia
Fuggle H,5.9,Unknown
Phoenix,11,UK
Cluster (AUS),7,Australia
Palisade®,7.5,US
Kitamidori,10.5,Japan
Sovereign,5.5,UK
Elsaesser,4.65,France
Saaz,3.5,Czechia
Toyomidori,12,Japan
Defender,4.65,UK
Eastern Green,5.15,Japan
Aurora,9.5,Slovenia
Horizon,12.65,US
Pilgrim,11,UK
Tettnanger (US),4.5,US
Ultra,4,US
Nelson Sauvin,12.5,New Zealand
Ahtanum™,5.15,US
Aramis,8.100000000000001,France
Golden Star,5.4,Japan
Hersbrucker E,5,UK
Buzz Bullets,9,US
Calypso,13,US
Green Bullet,13,New Zealand
Helga,6.35,Australia
Warrior®,16.25,US
Cobb,5.550000000000001,UK
Perle (US),8,US
Waimea,17.5,New Zealand
Wai-iti,3,New Zealand
Willamette,5,US
Orion,8.5,Germany
Kohatu®,6.8,New Zealand
Sonnet,4.3,US
Triskel,8.5,France
Cascade (New Zealand),7,New Zealand
Hallertauer Taurus,15.1,Germany
Mandarina Bavaria,9.5,Germany
Progress,6.75,UK
Shinshuwase,6.5,Japan
Strisselspalt,3.75,France
Fuggle (US),4.75,US
Wuerttemberger,5,Germany
Calicross,6.85,New Zealand
Pride of Ringwood,9,Australia
Lubelska,4,Czechoslovakia
Sylva,6.449999999999999,Australia
Cascade (US),6.7,US
Southern Promise,10.5,Slovenia
Banner,10.7,US
Hersbrucker Pure,5.35,Unknown
Mount Rainier,6.55,Unknown
Golding (US),5,US
Motueka,7.5,New Zealand
Pacific Jade,13,New Zealand
Bouclier,7.1,UK / France
Willow Creek,0.0,Unknown
Pacific Sunrise,13.5,New Zealand
Summit™,17,US
Hersbrucker,3.5,Germany
Tardif de Bourgogne,4.3,France
Bravo,15.5,US
Golding (BC),5.5,Canada
Hallertau,3.5,Germany
Blue Northern Brewer,7,Belgium
Canadian Redvine,5,Canada
Columbia,8.8,Unknown
Fuggle,4.25,UK
Omega,9.5,UK
Tettnanger,4.4,Germany
Dr Rudi,11,New Zealand
Falconer’s Flight®,10.75,US
Pacific Gem,14.5,New Zealand
Yakima Cluster,7.1000000000000005,US
Saphir,3.25,Germany
Tettnanger (Swiss),5.199999999999999,Switzerland
MultiHead,4.5,US
Sticklebract,13.6,New Zealand
Eroica,12.3,Unknown
First Choice,5.75,New Zealand
Eureka,18.5,Unknown
Blisk,11.899999999999999,Slovenia
Amallia,7.25,US
Kirin II,8,Japan
Topaz,15.7,Australia
Northern Brewer (GR),8.5,Germany
Smooth Cone,8.25,New Zealand
Admiral,14.6,UK
Newport,15.25,US
Crystal,3.6,Unknown
Challenger,7.75,UK
Cluster (US),7.25,US
Herkules,14.5,Germany
Pride of Kent,9.5,Unknown
Sladek,6.25,Czechia
Azacca ®,15,US
Marynka,10.5,Poland
Mosaic ®,12.5,Unknown
Gargoyle,7.5,US
Eastern Gold,12.5,Japan
Early Bird,5.550000000000001,UK
Janus,5.1,UK
Fuggle Tetraploid,5,Unknown
Universal,5.2,Czechia
Brewer’s Gold (US),10.6,US
Bianca,7.5,US
Hallertauer Tradition,5.8,Germany
Saaz (US),3.75,US
Vital,15.5,Czechia
Cashmere,8.4,US
Feux-Coeur,14,Australia
Boadicea,8.5,UK
Whitbread Golding,6.25,UK
Orbit,5,New Zealand
Comet,10.9,US
Cekin,7,Slovenia
Pocket Talisman,6,US
Spalt,4.1,Germany
Belma®,10.75,US
Styrian Gold,5,Slovenia
Brewer’s Gold,9.2,UK
First Gold,7.45,UK
Rakau,8.35,New Zealand
Cascade (Argentina),3.2,Argentina
Teamaker,1.2,Unknown
Sterling,6.75,US
Hallertau (US),4.5,US
Landhopfen,3.65,Germany
Sunbeam,4.5,US
Apolon,11,Slovenia
Simcoe®,13,US
Southern Cross,13.5,New Zealand
Symphony,17,Unknown
Groene Bel,4.9,Belgium
Hallertau Blanc,10.5,Germany
Bullion,9.8,UK
Sorachi Ace,13.75,Japan
Ella,14.8,Australia
Hybrid-2,10.2,South Africa
Lucan,4,Czechia
Northern Brewer (US),9,US
Nugget,11.75,US
Zeus,15.25,US
Northern Brewer (UK),9.5,Unknown
Target,10.25,UK
Sunshine,7.449999999999999,UK
Talisman,6.2,US
Vic Secret,15.5,Australia
Tillicum®,14.5,US
El Dorado ®,15,US
Furano Ace,7.5,Japan
Premiant,10.25,Czechia
Yakima Gold,9.65,US
Yeoman,14,UK
Bullion 10A,10.9,Unknown
Dunav,7.35,Serbia
Greensburg,5.2,US
Opal,13.5,Germany
Smaragd,5,Germany
Galena,12.5,US
Satus®,13.25,US
Early Green,0.0,UK
Celeia,5.5,Slovenia
Riwaka,5.5,New Zealand
Viking,9,UK
Bobek,6.4,Slovenia
Caliente,15.3,US
Atlas,10,Slovenia
Red Earth,0.0,Australia
Magnum (US),12,US
Zenith,10,Unknown
East Kent Golding,5.5,Unknown
Tettnanger B,5.3,Germany
Cicero,6.5,Slovenia
Galaxy ®,13.5,Australia
Agnus,11.5,Czechia
Southern Star,13,South Africa
Merkur,14.1,Germany
Early Promise,6.1,UK
Keyworth’s Early,8.6,UK
Record,9.5,Belgium
Spalter Select,4.75,Germany
Star,3.2,Belgium
Glacier,6.5,Unknown
Early Prolific,4.7,UK
Ivanhoe,7.65,US
Cerera,5.5,Slovenia
Citra®,12.5,US
Legacy®,8.1,US
Hallertau (NZ),8,New Zealand
Hallertauer Gold,8.5,Germany
