name,attenuation_min,attenuation_max,type,alcohol_tolerance
AURORA,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 86, 'unit': 'PERCENT_SIGN'}",KVEIK,23.0769
Classic American,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,11
Classic English,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Funk Weapon #1,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 95, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Funk Weapon #2 ,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 95, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Funk Weapon #3,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 95, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
NEEPAH Blend,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,7.69231
OSLO,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 86, 'unit': 'PERCENT_SIGN'}",KVEIK,23.0769
S. arlingtonesis™,"{'value': 88, 'unit': 'PERCENT_SIGN'}","{'value': 93, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Saison Parfait™: New World Saison Blend,"{'value': 90, 'unit': 'PERCENT_SIGN'}","{'value': 100, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Sour Solera Blend,"{'value': 96, 'unit': 'PERCENT_SIGN'}","{'value': 100, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Sour Weapon L,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},BACTERIA,7.69231
Sour Weapon P,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},BACTERIA,23.0769
The Mad Fermentationist Saison Blend,"{'value': 90, 'unit': 'PERCENT_SIGN'}","{'value': 100, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Berliner blend ,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},ALE,0.0
BugFarm,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},ALE,0.0
Farmhouse ,"{'value': 80, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Flemish Ale,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},ALE,0.0
Kellerbier,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",LAGER,0.0
Kölschbier,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Nordic Farmhouse,"{'value': 78, 'unit': 'PERCENT_SIGN'}","{'value': 83, 'unit': 'PERCENT_SIGN'}",KVEIK,0.0
Old Newark Ale,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Saison Brasserie,"{'value': 80, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Scottish Heavy,"{'value': 77, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Belgian Abbaye,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Belgian Abbaye 2,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Saison,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,0.0
